Word,Length,Ortho_N,BG_Sum,Freq_HAL
hidden,6,1,8555,18294
highly,6,0,3994,40740
hockey,6,1,3919,12193
horror,6,0,9423,12795
hungry,6,0,7447,6300
ignore,6,0,9172,27790
images,6,0,9065,33727
immune,6,1,5770,5735
impact,6,1,5480,21077
import,6,1,6611,12606
injury,6,1,9130,8073
itself,6,0,7064,76297
jaguar,6,0,4685,6258
junior,6,0,8816,10114
labels,6,1,6032,8378
lawyer,6,1,8601,12105
layout,6,0,5147,9225
league,6,0,6795,25384
likely,6,1,7014,71675
liquid,6,0,4605,9017
little,6,0,9433,288496
lizard,6,1,7105,5706
lyrics,6,0,6871,14794
manage,6,0,8585,18086
manual,6,1,8935,49825
marvel,6,1,8497,19626
medium,6,1,8788,19072
memory,6,0,7104,114930
method,6,0,6147,49828
mighty,6,1,3703,7688
mirror,6,0,7656,27107
mobile,6,0,6787,9249
models,6,1,6249,28421
modify,6,1,3993,10387
module,6,0,6309,15712
mosaic,6,0,5756,15261
mostly,6,1,7338,39190
muscle,6,0,6696,9316
museum,6,0,4634,10047
mutual,6,0,5538,9352
myself,6,0,4200,92699
nearby,6,1,7389,10346
neural,6,0,9952,7951
nicely,6,1,8720,9660
number,6,1,8351,283001
office,6,0,5327,88401
offset,6,0,4024,6163
oppose,6,0,5208,6419
orgasm,6,0,5652,6226
output,6,0,3987,37840
oxygen,6,0,5159,5693
people,6,0,6849,768168
phrase,6,0,7395,12897
pixels,6,0,3105,6023
plasma,6,0,6454,5618
please,6,0,9491,580704
poetry,6,0,4897,8869
policy,6,1,7589,47846
polish,6,0,9175,6046
poorly,6,0,6582,6905
pretty,6,0,8614,129994
profit,6,0,6664,19954
prompt,6,0,5945,14839
public,6,0,6993,153537
purely,6,1,9570,9206
purple,6,0,6211,9407
rabbit,6,0,7084,5751
racism,6,1,8845,8554
recipe,6,1,9019,10197
reform,6,1,8916,15887
reject,6,1,7170,7470
remove,6,1,8959,43954
repair,6,1,8042,13501
return,6,0,8462,83751
review,6,0,7351,39843
ritual,6,0,9291,7773
safely,6,1,4817,5805
safety,6,1,3595,23660
sailor,6,1,7310,6240
salary,6,0,9418,30091
sample,6,1,6752,24016
scheme,6,1,6895,15924
school,6,0,5812,119951
scream,6,1,8975,7435
script,6,0,5436,33261
scroll,6,1,6731,5743
search,6,1,8760,78523
secure,6,0,9886,14198
select,6,0,9622,38056
shadow,6,0,4765,17543
sheets,6,1,6274,8127
shield,6,0,5697,14024
should,6,0,5528,594293
signal,6,0,7251,28245
slaves,6,1,9222,6684
slowly,6,0,4214,24077
smooth,6,1,4644,13504
soccer,6,0,9449,7502
social,6,0,6601,58169
solely,6,1,8774,8749
solved,6,1,8573,9356
source,6,0,5875,186065
speech,6,0,6181,36422
spirit,6,0,7510,40804
spleen,6,0,9708,19535
spoken,6,1,6847,10279
spread,6,0,9581,22704
square,6,1,8581,19004
struck,6,0,7303,7224
studio,6,0,9046,15767
stupid,6,0,6376,45414
submit,6,1,4803,23589
subtle,6,1,5120,7142
summit,6,1,5421,5625
supply,6,1,4092,36137
survey,6,0,4568,22164
syntax,6,0,5311,8728
system,6,0,9432,439448
tablet,6,1,8833,7519
target,6,0,7713,29601
thanks,6,1,6477,253766
theory,6,0,6702,48737
thirty,6,0,4923,6426
though,6,1,4984,199366
thread,6,1,8981,57162
throat,6,1,8317,8042
thrown,6,1,4567,10415
topics,6,1,5331,28938
travel,6,1,8816,45977
triple,6,1,9281,6475
tunnel,6,1,6970,7452
turkey,6,0,3497,13802
twelve,6,0,4338,6793
twenty,6,0,8132,10756
unfair,6,0,4346,6396
unique,6,0,4350,24825
unlike,6,0,5714,18198
update,6,0,9525,39270
useful,6,0,5388,55233
vacuum,6,0,3232,6231
victim,6,0,9871,11638
victor,6,1,8328,8917
viewed,6,1,7308,7243
viewer,6,1,8985,9597
virgin,6,1,9365,7884
visual,6,0,7897,31701
voices,6,1,9029,10474
volume,6,0,4516,40289
wealth,6,1,7057,11934
weapon,6,0,8853,19739
wheels,6,0,5000,11748
wisdom,6,0,5059,12554
wizard,6,1,4825,12369
worthy,6,0,5667,6530
