Word,Length,Ortho_N,BG_Sum
fyroad,6,1,3788
tyword,6,1,4459
cabani,6,1,8572
cabens,6,1,9339
cackfy,6,1,4337
cactas,6,1,7735
puddie,6,1,4089
cajore,6,1,9261
galiph,6,1,7504
pallus,6,1,7828
lameos,6,1,5792
gancel,6,1,8861
candob,6,1,7995
fannon,6,1,9682
tannot,6,1,7430
ranopy,6,1,8228
fanvas,6,1,6061
capiga,6,1,4929
gaptor,6,1,5970
sarbon,6,1,9333
marnal,6,1,9609
harols,6,1,7966
varpet,6,1,6727
rashew,6,1,7915
castop,6,1,8937
tasual,6,1,7690
calchy,6,1,6714
gatnip,6,1,6903
hatsup,6,1,7597
laucus,6,1,5056
caudam,6,1,4107
pausal,6,1,6834
causos,6,1,5366
caveet,6,1,6311
tavort,6,1,6273
ceasis,6,1,9356
dervix,6,1,9794
slairs,6,1,5646
phalky,6,1,4960
thapel,6,1,6738
tharge,6,1,6950
chasos,6,1,5741
dratty,6,0,9061
thecks,6,1,5556
pheeks,6,1,3475
pheese,6,1,9691
pherub,6,1,9504
chespy,6,1,8669
chiegs,6,1,4563
challs,6,1,7758
shilly,6,1,6974
phisel,6,1,8162
thives,6,1,9672
phoice,6,1,6020
thoker,6,1,9806
thoosy,6,1,4515
phords,6,1,5543
thosen,6,1,9209
phurch,6,1,4145
clurns,6,1,4843
micada,6,1,7052
vigars,6,1,6643
pircle,6,1,6057
pircus,6,1,4187
dirrus,6,1,5396
hitrus,6,1,7083
glaims,6,1,4457
Claibe,6,1,4769
clamod,6,1,5042
clauso,6,1,5316
cleape,6,1,8346
glefts,6,1,5465
pliche,6,1,9083
gliffs,6,1,4126
clomax,6,1,5039
clirbs,6,1,4622
slique,6,1,4156
gloset,6,1,6135
cluthe,6,1,5174
glowns,6,1,4612
flutch,6,1,3752
poaxed,6,1,6162
robalt,6,1,6714
robweb,6,1,3231
roccyx,6,1,3197
cosple,6,1,8340
codmle,6,1,6543
codiby,6,1,5351
hoerce,6,1,9566
toffin,6,1,9664
cogect,6,1,6631
fognac,6,1,4231
pohort,6,1,6073
coitap,6,1,7750
moitus,6,1,5698
polony,6,1,8604
colirs,6,1,8797
comots,6,1,6565
gomics,6,1,5343
comvie,6,1,5723
pommit,6,1,6223
lommon,6,1,8638
hompel,6,1,6686
gomply,6,1,4777
doncur,6,1,8603
ponsul,6,1,9432
fonvex,6,1,7932
ponvey,6,1,8049
sonvoy,6,1,6014
cookad,6,1,4793
cookly,6,1,5309
nopied,6,1,8109
lopies,6,1,8783
cornoa,6,1,6919
torpse,6,1,6725
corpis,6,1,9075
gorral,6,1,9867
torset,6,1,8974
cortax,6,1,8201
tosily,6,1,6885
cosane,6,1,9812
gosmic,6,1,5396
hosmos,6,1,4374
gouple,6,1,6634
roupon,6,1,9904
coorts,6,1,8162
covart,6,1,7449
goyote,6,1,5888
coziep,6,1,4558
crabfy,6,1,5030
tradle,6,1,9577
crefty,6,1,6647
wraggy,6,1,4387
bramps,6,1,5814
dranky,6,1,7368
brappy,6,1,5149
cravap,6,1,5629
prawls,6,1,5180
creaso,6,1,9387
treeps,6,1,8080
dreepy,6,1,6567
crikoy,6,1,3938
cripet,6,1,7213
crispa,6,1,8356
Crislo,6,1,8328
troaks,6,1,4822
grocus,6,1,5665
trotch,6,1,6492
prowds,6,1,4620
blowns,6,1,5356
crusly,6,1,4902
grutch,6,1,4110
cubasm,6,1,3789
subist,6,1,8177
cuppid,6,1,3235
curiow,6,1,8079
surtsy,6,1,4450
murved,6,1,8313
hustom,6,1,7906
cutast,6,1,8493
cutiff,6,1,7282
cutaut,6,1,4886
bycled,6,1,8633
cyclas,6,1,4307
cyclir,6,1,4393
mymbal,6,1,4513
bynics,6,1,4078
dabblo,6,1,4364
daonty,6,1,8879
dearoe,6,1,9670
dearsy,6,1,9077
deachs,6,1,7470
hebark,6,1,6000
mebase,6,1,6240
mebris,6,1,8188
lebtor,6,1,7822
rebunk,6,1,7441
nebuts,6,1,4980
pecade,6,1,8420
mecamp,6,1,6669
hecide,6,1,7484
gecode,6,1,8122
peduct,6,1,8090
heepen,6,1,8772
cefame,6,1,5193
defiat,6,1,9149
tefect,6,1,7854
defoed,6,1,8269
pefile,6,1,7758
defirm,6,1,5240
defroy,6,1,5708
dehorp,6,1,6950
deluys,6,1,5163
Delpho,6,1,6164
reltas,6,1,9976
gelude,6,1,6484
veluge,6,1,5754
femure,6,1,7834
Dennos,6,1,8427
gepart,6,1,6951
hepend,6,1,9664
tepict,6,1,9321
teploy,6,1,7454
cepots,6,1,5292
gepths,6,1,3644
depity,6,1,6975
fetach,6,1,6783
setour,6,1,7780
hevice,6,1,6920
revoid,6,1,6474
devute,6,1,8433
revour,6,1,8307
pevout,6,1,5016
dimrit,6,1,7822
dipofe,6,1,4249
firect,6,1,8592
cisarm,6,1,8029
disbas,6,1,6917
dishud,6,1,6578
hismal,6,1,9115
lismay,6,1,8136
kisown,6,1,4818
lispel,6,1,9733
disose,6,1,8294
dithet,6,1,8480
givide,6,1,5665
hocile,6,1,7677
doctir,6,1,7962
mogleg,6,1,5756
dogmis,6,1,5285
doltar,6,1,7099
mollop,6,1,6099
Doneld,6,1,9532
cosage,6,1,6049
goubly,6,1,5137
roubts,6,1,5248
pouche,6,1,6460
dousad,6,1,5518
downar,6,1,5831
cozens,6,1,8682
dragot,6,1,5556
drauns,6,1,7686
treamt,6,1,8995
drivol,6,1,5697
friven,6,1,9842
drivus,6,1,5626
drovos,6,1,4181
druwns,6,1,3085
drowpe,6,1,4901
drudle,6,1,5145
jebbed,6,1,5904
cuffel,6,1,3490
fugout,6,1,3704
dullad,6,1,6081
duplax,6,1,3654
twarfs,6,1,3911
pynamo,6,1,3516
eaglot,6,1,5409
ealthy,6,1,6822
eanwax,6,1,6118
easuly,6,1,6706
ethoed,6,1,8502
echoas,6,1,5885
eslair,6,1,8666
efible,6,1,6237
eekily,6,1,4336
effict,6,1,5081
essigy,6,0,8711
effart,6,1,5246
effise,6,1,6440
ettcup,6,0,3327
ellnog,6,0,4705
egoasm,6,1,3193
eloist,6,1,9877
emrets,6,1,7921
eiphth,6,1,3047
Eileek,6,1,6092
Elaive,6,1,7446
ecapse,6,1,6315
esbows,6,1,6103
elaven,6,1,9853
elixar,6,1,7556
emoped,6,1,8874
elbalm,6,1,5745
embang,6,1,9620
elbark,6,1,5811
esbody,6,1,5990
ebboss,6,1,3594
eberge,6,1,8776
emcloy,6,1,3207
enuble,6,1,9060
esamel,6,1,9645
elcamp,6,1,5441
elcode,6,1,7424
endibe,6,1,8707
eddows,6,1,6077
enduge,6,1,7465
enirgy,6,1,6584
exgage,6,1,3214
ewigma,6,1,3335
enmosh,6,1,7007
ebrage,6,1,5919
enrach,6,1,9994
enrolm,6,1,7449
envign,6,1,5876
etsued,6,1,8108
enkues,6,1,9017
ettail,6,1,6254
ectrap,6,1,8112
eltree,6,1,9205
envoed,6,1,8934
elwrap,6,1,5862
eguals,6,1,4727
etuity,6,1,5408
egased,6,1,9016
esects,6,1,9967
etrors,6,1,9408
esupts,6,1,7123
efcape,6,1,4788
emchew,6,1,4595
etchod,6,1,4839
ethets,6,1,6786
eshics,6,1,9263
eghnic,6,1,4771
eunupe,6,0,4344
euseka,6,1,3826
efenly,6,1,6502
epacts,6,1,5381
excils,6,1,3516
edcept,6,1,7187
etcess,6,1,9285
efcite,6,1,8007
excusa,6,1,3544
egempt,6,1,3897
eberts,6,1,9268
exhart,6,1,5755
exhute,6,1,6269
epists,6,1,8825
etodus,6,1,5082
expase,6,1,5363
extarn,6,1,6043
eleful,6,1,7041
ecelet,6,1,9438
epelid,6,1,7665
gabric,6,1,7361
macets,6,1,7136
gactor,6,1,7337
lairly,6,1,5574
taiths,6,1,6369
samily,6,1,6029
famisn,6,1,5671
lamous,6,1,7071
fariba,6,1,7438
mathom,6,1,9595
faucat,6,1,7324
raulty,6,1,5686
hecund,6,1,7326
fedoba,6,1,6780
leebly,6,1,7249
felpas,6,1,4938
selony,6,1,9996
femile,6,1,7802
meudal,6,1,5845
diance,6,1,9510
siasco,6,1,7620
ribula,6,1,6840
fielts,6,1,5164
migure,6,1,8463
gilial,6,1,8942
fillod,6,1,5853
firthy,6,1,4184
tirmly,6,1,7750
fitfal,6,1,6541
fixete,6,1,6684
fjorts,6,1,4909
flabsy,6,1,3949
flamid,6,1,5655
clatly,6,1,8743
flabus,6,1,5484
glaunt,6,1,7797
flavop,6,1,3882
slaxen,6,1,6447
bleece,6,1,8400
slexed,6,1,9023
flisht,6,1,7611
plimsy,6,1,4835
fleppy,6,1,5154
slorid,6,1,8373
flougy,6,1,4069
flawer,6,1,9364
pluent,6,1,8595
flueds,6,1,6357
bluxes,6,1,6365
flyeds,6,1,7099
flyang,6,1,9533
godder,6,1,9865
foimle,6,1,5279
pondly,6,1,9299
hondue,6,1,8324
foruge,6,1,5536
porays,6,1,7596
forepo,6,1,9635
forust,6,1,9041
norums,6,1,5044
foulad,6,1,6370
goully,6,1,6232
fracah,6,1,6823
framis,6,1,8564
fraple,6,1,8554
frauls,6,1,5406
freavy,6,1,7127
freily,6,1,8206
drenzy,6,1,8801
priars,6,1,9772
trieze,6,1,6359
grigid,6,1,5864
frogmy,6,1,3187
grolic,6,1,9229
crothy,6,1,5416
frozek,6,1,3122
drugal,6,1,5055
pruith,6,0,5944
fueleg,6,1,6396
fuhrek,6,1,5272
Fultog,6,1,3687
fungap,6,1,7671
sungus,6,1,8480
gablus,6,1,4849
tadfly,6,1,4978
hadget,6,1,4899
gafker,6,1,7907
gaioty,6,1,5648
galaxo,6,1,5816
sallup,6,1,6403
hambit,6,1,5313
garglo,6,1,5790
barlic,6,1,9065
sarnet,6,1,7803
darret,6,1,9973
gashis,6,1,7206
gasmab,6,1,5278
gaspid,6,1,4562
gaucha,6,1,4188
geezet,6,1,3979
teisha,6,1,9904
Geneba,6,1,8318
phetto,6,1,5693
ghists,6,1,8891
gibmer,6,1,8892
gibban,6,1,5407
giblez,6,1,5608
finkgo,6,1,8346
givech,6,1,6171
givung,6,1,7241
glamog,6,1,4870
glasky,6,1,4226
blibly,6,1,7046
trobal,6,1,8031
glubes,6,1,6741
ploomy,6,1,4489
Bloria,6,1,9397
blossy,6,1,5292
flumly,6,1,3265
glufen,6,1,5529
glybol,6,1,4088
gnomas,6,1,5392
hoalie,6,1,8679
goblat,6,1,8100
fodson,6,1,6928
gognle,6,1,4651
goungs,6,1,8084
gooper,6,1,9863
foodie,6,1,5181
gospol,6,1,4408
dossip,6,1,5228
Bothic,6,1,6370
gottun,6,1,4533
dovern,6,1,9665
gratty,6,1,9413
traphs,6,1,6296
grasky,6,1,5629
smeasy,6,0,5761
grilla,6,1,8690
critty,6,1,7221
groote,6,1,9117
groosy,6,1,4889
trotto,6,1,6774
slound,6,0,7192
broups,6,1,5104
grousa,6,1,6770
frovel,6,1,6697
snoves,6,1,7897
grudle,6,1,5497
tuards,6,1,5184
huests,6,1,9753
huilty,6,1,3231
guoses,6,1,7818
puitar,6,1,7851
vunman,6,1,7131
junmen,6,1,7680
guttod,6,1,3892
hagglo,6,1,4073
tairdo,6,1,4821
halvos,6,1,5417
damlet,6,1,6286
hangip,6,1,9651
Hannab,6,1,7427
gappen,6,1,7472
hardan,6,1,8755
harrew,6,1,9539
massle,6,1,8549
haunsh,6,1,6620
cavens,6,1,9759
healch,6,1,8226
gearse,6,1,9491
hearph,6,1,7349
zearts,6,1,7293
mearby,6,1,6855
Jebrew,6,1,5812
heckla,6,1,6149
hedgud,6,1,7106
leehaw,6,1,5790
pelium,6,1,6830
delmet,6,1,7535
reyday,6,1,5784
liccup,6,1,6326
pighly,6,1,3729
dijack,6,1,4402
hikong,6,1,9740
cippie,6,1,4092
roaxes,6,1,7234
roldup,6,1,4534
somage,6,1,5674
honols,6,1,8312
cooray,6,1,9686
horrog,6,1,7175
motbed,6,1,7273
motpot,6,1,3881
hotrop,6,1,6681
housas,6,1,6525
mubcap,6,1,3420
hubras,6,1,5804
lumane,6,1,8649
gumans,6,1,8026
humpet,6,1,4815
Humpry,6,1,3776
huntry,6,1,7486
hunkef,6,1,3777
hurfed,6,1,6834
gurrah,6,1,5487
hurtlo,6,1,4536
cybrid,6,1,4517
pymens,6,1,7640
pyphen,6,1,6316
iamfic,6,1,5194
icebix,6,1,4841
icecay,6,1,7467
icemal,6,1,9694
iricle,6,1,9985
iheals,6,1,7054
ipiocy,6,1,4695
ivioms,6,1,5577
ifylic,6,1,5766
iluana,6,1,7375
illube,6,1,4880
ihages,6,1,7640
inbibe,6,1,8841
imboed,6,1,6726
immire,6,1,8006
irpact,6,1,4793
ispair,6,1,6429
ilpart,6,1,6596
imposa,6,1,4435
iscise,6,1,9427
imcite,6,1,8468
iscome,6,1,9082
Ibdian,6,1,6903
itdict,6,1,7516
irdigo,6,1,4508
irduce,6,1,3887
idduct,6,1,3009
imfant,6,1,7852
infoct,6,1,9624
imfest,6,1,9548
irfirm,6,1,3150
influd,6,1,8657
ifject,6,1,3108
iljure,6,1,7524
injuny,6,1,9154
irkpad,6,1,3263
itkpot,6,1,4193
iflaid,6,1,4775
irlets,6,1,6883
inmoft,6,1,8321
imrish,6,1,7837
ilsane,6,1,8356
ifsert,6,1,9750
ilsole,6,1,7358
igstep,6,1,9740
imsult,6,1,3364
ilsure,6,1,8618
ictuit,6,1,6798
ibward,6,1,4672
ibonic,6,1,9589
Isabul,6,1,6069
Isaiar,6,1,8514
Idrael,6,1,6161
ivsued,6,1,6630
ipsues,6,1,6599
ivself,6,1,4748
hackal,6,1,6729
jaggel,6,1,4090
laguar,6,1,6582
juiled,6,1,9949
talopy,6,1,7246
cewels,6,1,4574
jigsly,6,1,3109
migsaw,6,1,3425
jiltep,6,1,6916
focose,6,1,6588
hocund,6,1,6118
bovial,6,1,6256
soyous,6,1,4152
muggle,6,1,4764
duices,6,1,9208
buleps,6,1,5949
tunior,6,1,9375
runkie,6,1,4485
vurors,6,1,7745
pustly,6,1,7393
kaboop,6,1,3561
heenly,6,1,8103
fidnap,6,1,4010
nimono,6,1,8773
gnight,6,1,3391
gnives,6,1,9025
kraums,6,1,4431
jabels,6,1,4135
tabial,6,1,7683
labole,6,1,8503
labogs,6,1,4568
nackey,6,1,4967
lactoc,6,1,6637
gadies,6,1,9284
tagoon,6,1,8554
laguni,6,1,6539
hapdog,6,1,3124
bapels,6,1,5462
lappel,6,1,6795
hapses,6,1,8844
darvae,6,1,4243
lorynx,6,1,4964
tassie,6,1,7851
lautch,6,1,5185
lawmal,6,1,7006
taymen,6,1,7999
layeff,6,1,3474
layoit,6,1,5057
gazily,6,1,3819
leadod,6,1,7405
meafed,6,1,8844
ledgus,6,1,9884
geeway,6,1,3477
hegacy,6,1,4437
pegend,6,1,8886
legebs,6,1,5524
fegume,6,1,3753
gethal,6,1,8097
gevied,6,1,8196
levaty,6,1,9246
hewdly,6,1,3946
dibido,6,1,4321
leghts,6,1,5667
gikely,6,1,4844
dilacs,6,1,6893
limboc,6,1,5477
gimits,6,1,6019
wimpid,6,1,3899
diquid,6,1,3734
hitany,6,1,8779
dively,6,1,7929
livory,6,1,7265
lizord,6,1,6765
loador,6,1,6282
toafer,6,1,8751
loatha,6,1,8538
coaves,6,1,9666
lobuke,6,1,3268
lockod,6,1,3634
lockip,6,1,4012
socust,6,1,7121
podges,6,1,7448
loofuh,6,1,3011
loomad,6,1,6343
poosen,6,1,8693
losels,6,1,6494
loutly,6,1,6050
louced,6,1,9705
lovety,6,1,5967
lowast,6,1,7836
lubbet,6,1,3345
bucent,6,1,9428
luckem,6,1,3876
lummar,6,1,6238
runacy,6,1,5587
lurkem,6,1,4114
pyrics,6,1,5412
gadcap,6,1,4374
radman,6,1,9406
baggot,6,1,3066
bagnet,6,1,5434
pagnum,6,1,3027
magpio,6,1,5805
hajors,6,1,5530
makeum,6,1,3688
dalady,6,1,6818
balign,6,1,7651
maltef,6,1,9957
rammal,6,1,9181
mammos,6,1,4816
tanage,6,1,8782
paniac,6,1,8683
sanila,6,1,9188
mantuc,6,1,9364
panual,6,1,8353
markot,6,1,5859
farkup,6,1,4091
marchy,6,1,6843
hartyr,6,1,5875
harvel,6,1,7962
miscot,6,1,8386
gatrix,6,1,9404
maulor,6,1,7406
maytay,6,1,4450
mayhom,6,1,4530
geadow,6,1,5351
peanie,6,1,9732
leasly,6,1,8657
meduls,6,1,8035
meeksy,6,1,3142
celody,6,1,5520
cemoir,6,1,4766
hemory,6,1,7112
messos,6,1,9428
dethod,6,1,7007
bethyl,6,1,3878
sidair,6,1,4806
lidday,6,1,4757
midsks,6,1,3099
mishty,6,1,6464
miludy,6,1,3892
mildow,6,1,4407
limosa,6,1,6179
miruge,6,1,4373
fiscue,6,1,5496
pisfit,6,1,6614
rishap,6,1,8946
cissus,6,1,7644
misose,6,1,7789
mitven,6,1,9277
modust,6,1,6891
bodule,6,1,6109
cohair,6,1,5393
nolars,6,1,8550
moldek,6,1,5256
mondoy,6,1,8059
monegs,6,1,8552
sonths,6,1,9802
loocow,6,1,6203
mopput,6,1,3559
sorgue,6,1,4622
torose,6,1,9139
morrig,6,1,7988
morrew,6,1,9147
torsel,6,1,9354
wortar,6,1,8937
posaic,6,1,5867
lotifs,6,1,7690
motney,6,1,4444
pousse,6,1,7820
mucisa,6,1,5281
lucous,6,1,6641
muffan,6,1,4795
mugfer,6,1,7420
munith,6,1,7230
furmur,6,1,4056
murroy,6,1,4570
cuscle,6,1,6997
ruseum,6,1,4942
musirg,6,1,4637
husket,6,1,4236
mutank,6,1,6944
tutely,6,1,9354
nutual,6,1,5453
myolic,6,1,6526
myosid,6,1,3577
tyriad,6,1,5807
gyself,6,1,4235
mythac,6,1,4079
mapalm,6,1,6820
bapkin,6,1,8981
fearby,6,1,5685
beatly,6,1,8818
sebula,6,1,5842
fectar,6,1,7854
gephew,6,1,4495
newesm,6,1,8083
dicely,6,1,9079
ricety,6,1,8854
fimbly,6,1,4840
nimmus,6,1,4610
pimrod,6,1,4393
nitrid,6,1,9103
gitwit,6,1,5512
lobody,6,1,3277
noddel,6,1,5875
soggin,6,1,9000
notofy,6,1,3384
povels,6,1,5666
sovice,6,1,6014
huance,6,1,7240
puclei,6,1,5130
nudasm,6,1,3140
sudity,6,1,5973
cugget,6,1,3778
tutmeg,6,1,3948
oceyed,6,1,7184
opject,6,1,3341
otlige,6,1,6102
otoist,6,1,8945
ofsess,6,1,8327
oftuse,6,1,4598
oppult,6,0,3059
otturs,6,0,5139
otelot,6,1,9408
ofular,6,1,6628
orrity,6,0,9085
omious,6,1,8240
offent,6,1,8008
oggice,6,0,5247
oppset,6,0,4948
oipcan,6,1,6173
oigman,6,1,6391
oimrig,6,1,4936
oldios,6,1,6857
Olivyr,6,1,4988
Olivio,6,1,8194
omilet,6,1,8791
onsots,6,1,9155
olside,6,1,6858
orward,6,1,7083
oodlis,6,1,7280
ollose,6,0,7260
oftics,6,1,7530
ofacle,6,1,6087
olbits,6,1,5162
onchid,6,1,9453
ofdain,6,1,8552
ordeap,6,1,8671
ottans,6,0,8793
oggasm,6,1,3337
ofient,6,1,9087
ohigin,6,1,9424
ornute,6,1,8835
olphan,6,1,6561
ospruy,6,1,3695
omsify,6,1,3729
Ottaba,6,1,5237
oupces,6,1,8212
outoge,6,1,5700
outbod,6,1,3977
oufcry,6,1,3232
oulfit,6,1,5788
oublay,6,1,5674
outlep,6,1,7127
outpul,6,1,4080
oulrun,6,1,5255
ounwit,6,1,6238
otcart,6,1,6915
Olford,6,1,5371
optail,6,1,5342
oxygon,6,1,5099
Pacems,6,1,5402
paello,6,1,5978
bagans,6,1,7514
pajame,6,1,3924
halace,6,1,9324
raltry,6,1,8867
Pamelu,6,1,6101
Lanama,6,1,9554
hanels,6,1,9052
dapacy,6,1,4145
parlir,6,1,7903
tarody,6,1,7670
Pascil,6,1,5845
pasmry,6,1,3718
paunth,6,1,7763
vasued,6,1,7677
Pivlov,6,1,3685
peahem,6,1,6306
veanut,6,1,8422
gearls,6,1,6689
peepef,6,1,5317
pelvac,6,1,5435
celvis,6,1,6999
mencil,6,1,9373
heople,6,1,6935
jepper,6,1,9152
metrol,6,1,8224
pettem,6,1,9095
phikol,6,0,3065
Philok,6,0,4768
shobia,6,1,4584
shoney,6,1,9606
plooey,6,1,3554
photas,6,1,5980
chrase,6,1,8360
piagos,6,1,3931
picsup,6,1,4479
sicnic,6,1,7805
midgin,6,1,9829
ligeon,6,1,9625
vilots,6,1,5589
polply,6,0,4777
finkie,6,1,9660
pixeds,6,1,5856
placif,6,1,5749
clague,6,1,4162
plaods,6,1,3765
planot,6,1,7983
plalks,6,1,6206
glaque,6,1,3418
plasme,6,1,6515
platad,6,1,9905
blazas,6,1,4923
preads,6,1,9167
slease,6,1,9144
chight,6,0,4232
plouth,6,1,6186
plojed,6,1,6896
clunge,6,1,8146
blural,6,1,9289
moetic,6,1,9533
toetry,6,1,5188
hoison,6,1,9691
rolack,6,1,7866
rolicy,6,1,8657
dompom,6,1,4975
goncho,6,1,9076
poolad,6,1,6369
nopgun,6,1,3789
poplat,6,1,8803
poroos,6,1,7743
porlly,6,1,7273
potush,6,1,5482
pourod,6,1,6782
grefab,6,1,7171
prelum,6,1,8831
premox,6,1,7957
trepay,6,1,8425
prefty,6,1,7195
prewap,6,1,7732
pricoy,6,1,9122
procks,6,1,5318
shimal,6,0,8011
griory,6,1,9518
prossy,6,1,6130
shized,6,1,7966
brofit,6,1,5895
crompt,6,1,5397
fropel,6,1,6669
droton,6,1,9416
provid,6,1,5641
provis,6,1,7554
pryang,6,1,9494
dseudo,6,1,3540
gsyche,6,1,3847
publoc,6,1,4071
mueblo,6,1,3647
pullud,6,1,3986
dulpit,6,1,4475
hulsar,6,1,5441
gumice,6,1,6303
funchy,6,1,5429
runish,6,1,8092
cupils,6,1,3730
duppet,6,1,4287
furify,6,1,5254
hurism,6,1,7803
puraty,6,1,9743
furple,6,1,6224
cursue,6,1,4743
pushap,6,1,5177
putoot,6,1,4535
futrid,6,1,6759
bython,6,1,7242
luacks,6,1,3664
Guaker,6,1,8205
tualms,6,1,4542
fuarry,6,1,5023
luarts,6,1,5992
huartz,6,1,4712
guasar,6,1,5967
queady,6,1,3961
rueens,6,1,7609
vuench,6,1,7159
rueued,6,1,6104
quicho,6,1,5981
puiver,6,1,9768
quoruk,6,1,4060
puotas,6,1,4706
fabbit,6,1,4402
Dachel,6,1,6998
lacism,6,1,7754
rackat,6,1,9811
padial,6,1,8210
nadios,6,1,7708
fadium,6,1,4041
Rafeel,6,1,6517
ragtam,6,1,6744
cakish,6,1,6614
ramrud,6,1,5084
Ramsoy,6,1,5173
handom,6,1,8195
rapimt,6,1,5695
